Date,US Inflation Rate
"Sep 1, 2024",  2.44%
"Jan 1, 2024",  3.09%
"Jan 1, 2023",  6.41%
"Jan 1, 2022",  7.48%
"Jan 1, 2021",  1.40%
"Jan 1, 2020",  2.49%
"Jan 1, 2019",  1.55%
"Jan 1, 2018",  2.07%
"Jan 1, 2017",  2.50%
"Jan 1, 2016",  1.37%
"Jan 1, 2015",  -0.09%
"Jan 1, 2014",  1.58%
"Jan 1, 2013",  1.59%
"Jan 1, 2012",  2.93%
"Jan 1, 2011",  1.63%
"Jan 1, 2010",  2.63%
"Jan 1, 2009",  0.03%
"Jan 1, 2008",  4.28%
"Jan 1, 2007",  2.08%
"Jan 1, 2006",  3.99%
"Jan 1, 2005",  2.97%
"Jan 1, 2004",  1.93%
"Jan 1, 2003",  2.60%
"Jan 1, 2002",  1.14%
"Jan 1, 2001",  3.73%
"Jan 1, 2000",  2.74%
"Jan 1, 1999",  1.67%
"Jan 1, 1998",  1.57%
"Jan 1, 1997",  3.04%
"Jan 1, 1996",  2.73%
"Jan 1, 1995",  2.80%
"Jan 1, 1994",  2.52%
"Jan 1, 1993",  3.26%
"Jan 1, 1992",  2.60%
"Jan 1, 1991",  5.65%
"Jan 1, 1990",  5.20%
"Jan 1, 1989",  4.67%
"Jan 1, 1988",  4.05%
"Jan 1, 1987",  1.46%
"Jan 1, 1986",  3.89%
"Jan 1, 1985",  3.53%
"Jan 1, 1984",  4.19%
"Jan 1, 1983",  3.71%
"Jan 1, 1982",  8.39%
"Jan 1, 1981",  11.83%
"Jan 1, 1980",  13.91%
"Jan 1, 1979",  9.28%
"Jan 1, 1978",  6.84%
"Jan 1, 1977",  5.22%
"Jan 1, 1976",  6.72%
"Jan 1, 1975",  11.80%
"Jan 1, 1974",  9.39%
"Jan 1, 1973",  3.65%
"Jan 1, 1972",  3.27%
"Jan 1, 1971",  5.29%
"Jan 1, 1970",  6.18%
"Jan 1, 1969",  4.40%
"Jan 1, 1968",  3.65%
"Jan 1, 1967",  3.46%
"Jan 1, 1966",  1.92%
"Jan 1, 1965",  0.97%
"Jan 1, 1964",  1.64%
"Jan 1, 1963",  1.33%
"Jan 1, 1962",  0.67%
"Jan 1, 1961",  1.71%
"Jan 1, 1960",  1.03%
"Jan 1, 1959",  1.40%
"Jan 1, 1958",  3.62%
"Jan 1, 1957",  2.99%
"Jan 1, 1956",  0.37%
"Jan 1, 1955",  -0.74%
"Jan 1, 1954",  1.13%
"Jan 1, 1953",  0.38%
"Jan 1, 1952",  4.33%
"Jan 1, 1951",  8.09%
"Jan 1, 1950",  -2.08%
"Jan 1, 1949",  1.27%
"Jan 1, 1948",  10.23%
"Jan 1, 1947",  18.13%
"Jan 1, 1946",  2.25%
"Jan 1, 1945",  2.30%
"Jan 1, 1944",  2.96%
"Jan 1, 1943",  7.64%
"Jan 1, 1942",  11.35%
"Jan 1, 1941",  1.44%
"Jan 1, 1940",  -0.71%
"Jan 1, 1939",  -1.41%
"Jan 1, 1938",  0.71%
"Jan 1, 1937",  2.17%
"Jan 1, 1936",  1.47%
"Jan 1, 1935",  3.03%
"Jan 1, 1934",  2.33%
"Jan 1, 1933",  -9.79%
"Jan 1, 1932",  -10.06%
"Jan 1, 1931",  -7.02%
"Jan 1, 1930",  0.00%
"Jan 1, 1929",  -1.16%
"Jan 1, 1928",  -1.14%
"Jan 1, 1927",  -2.23%
"Jan 1, 1926",  3.47%
"Jan 1, 1925",  0.00%
"Jan 1, 1924",  2.98%
"Jan 1, 1923",  -0.59%
"Jan 1, 1922",  -11.05%
"Jan 1, 1921",  -1.55%
"Jan 1, 1920",  16.97%
"Jan 1, 1919",  17.86%
"Jan 1, 1918",  19.66%
"Jan 1, 1917",  12.50%
"Jan 1, 1916",  2.97%
"Jan 1, 1915",  1.00%
"Jan 1, 1914",  2.04%
"Jan 1, 1913",  7.34%
"Jan 1, 1912",  -1.08%
"Jan 1, 1911",  -6.77%
"Jan 1, 1910",  10.74%
"Jan 1, 1909",  3.23%
"Jan 1, 1908",  -2.15%
"Jan 1, 1907",  4.49%
"Jan 1, 1906",  0.00%
"Jan 1, 1905",  2.29%
"Jan 1, 1904",  -4.39%
"Jan 1, 1903",  9.62%
"Jan 1, 1902",  2.46%
"Jan 1, 1901",  -2.41%
"Jan 1, 1900",  16.86%
"Jan 1, 1899",  1.50%
"Jan 1, 1898",  2.94%
"Jan 1, 1897",  -2.85%
"Jan 1, 1896",  1.37%
"Jan 1, 1895",  -4.09%
"Jan 1, 1894",  -13.29%
"Jan 1, 1893",  7.78%
"Jan 1, 1892",  -6.03%
"Jan 1, 1891",  2.50%
"Jan 1, 1890",  -4.76%
"Jan 1, 1889",  -4.54%
"Jan 1, 1888",  4.76%
"Jan 1, 1887",  0.00%
"Jan 1, 1886",  -3.50%
"Jan 1, 1885",  -10.29%
"Jan 1, 1884",  -7.61%
"Jan 1, 1883",  -1.87%
"Jan 1, 1882",  8.07%
"Jan 1, 1881",  -5.71%
"Jan 1, 1880",  20.65%
"Jan 1, 1879",  -10.29%
"Jan 1, 1878",  -15.63%
"Jan 1, 1877",  0.83%
"Jan 1, 1876",  -5.73%
"Jan 1, 1875",  -6.95%
"Jan 1, 1874",  -4.40%
"Jan 1, 1873",  2.29%
"Jan 1, 1872",  1.52%
